Date,FC,Reference ID,Fee Type,Notes,Store Order ID,GST Rate,Amount,GST,Total (incl. GST)
01/05/26 03:15:36,Wind Gap 2 (PA),334004734,Shipping,D10017038725157,113227,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:16:25,Wind Gap 2 (PA),334258038,Shipping,CR000468418164,113264,0%,$ 5.75,$ 0,$ 5.75
01/05/26 03:16:56,Wind Gap 2 (PA),334011848,Shipping,D10017038729513,113229,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:17:18,Wind Gap 2 (PA),334020614,Shipping,420565019261290367770257571507,114-0324468-1192271,0%,$ 6.13,$ 0,$ 6.13
01/05/26 03:17:54,Wind Gap 2 (PA),333259585,Shipping,CR000468421957,113129,0%,$ 5.75,$ 0,$ 5.75
01/05/26 03:18:27,Wind Gap 2 (PA),334133662,Shipping,CR000468422672,113245,0%,$ 6.07,$ 0,$ 6.07
01/05/26 03:19:13,Wind Gap 2 (PA),334135154,Shipping,CR000468424629,113246,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:20:05,Wind Gap 2 (PA),334135727,Shipping,CR000468423337,113248,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:20:44,Wind Gap 2 (PA),334152752,Shipping,D10017038743985,113252,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:21:27,Wind Gap 2 (PA),334154135,Shipping,UUS6152760810955426,113253,0%,$ 5.99,$ 0,$ 5.99
01/05/26 03:21:46,Wind Gap 2 (PA),334231398,Shipping,UUS6152760810959666,,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:22:08,Wind Gap 2 (PA),334235851,Shipping,40633870ab2856438,113258,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:22:41,Wind Gap 2 (PA),334236207,Shipping,UUS6152760810969840,113260,0%,$ 6.01,$ 0,$ 6.01
01/05/26 03:23:02,Wind Gap 2 (PA),334241908,Shipping,UUS6152760810972222,113261,0%,$ 5.99,$ 0,$ 5.99
01/05/26 03:23:23,Wind Gap 2 (PA),334255383,Shipping,D10017038754007,113263,0%,$ 5.91,$ 0,$ 5.91
01/05/26 03:23:48,Wind Gap 2 (PA),334258629,Shipping,66d32170a95fdfc08,113265,0%,$ 5.85,$ 0,$ 5.85
01/05/26 03:24:15,Trenton (NJ),334092438,Shipping,7196005246,516638,0%,$ 3.95,$ 0,$ 3.95
01/05/26 03:31:30,Twin Lakes (WI),334282464,Shipping,CR000468461918,516857,0%,$ 6.03,$ 0,$ 6.03
01/05/26 03:33:17,Twin Lakes (WI),334278522,Shipping,CR000468463810,516863,0%,$ 5.97,$ 0,$ 5.97
01/05/26 03:36:49,Twin Lakes (WI),334281798,Shipping,9261290318421409731402,516867,0%,$ 5.75,$ 0,$ 5.75
01/05/26 03:38:10,Twin Lakes (WI),334534509,Shipping,7196054224,517173,0%,$ 3.95,$ 0,$ 3.95
